PFAS	1	2	3	4	5	6	7	8	9	10	11	Total PFAS				
PFBA	2019	0.2	0.4	3.5	0.2	7.3	0.2	0.3	0.3	0.5	0.2	0.2	13				
	2021	0.3	0.3	0.3	0.2	0.2	0.2	0.2	0.2	0.3	0.3	0.3	2.8				
PFBS	2019	-	0.6	9.2	0.2	10	0.2	-	-	-	-	-	20				
	2021	-	0.5	0.3	0.3	-	0.3	-	0.3	0.4	0.2	0.4	2.3				
PFPeA	2019	-	-	7.8	-	13	-	-	-	-	-	-	21				
	2021	-	-	-	-	-	-	-	-	-	-	-	-				
PFPeS	2019	-	-	6.6	-	6.8	-	-	-	-	-	-	13				
	2021	-	-	-	-	-	-	-	-	-	-	-	-				
PFHxA	2019	0.4	0.5	8.3	0.2	8.6	0.1	0.3	0.3	0.3	0.3	0.3	20				
	2021	0.4	0.4	0.3	0.4	0.4	0.4	0.4	0.3	0.3	0.2	0.3	3.7				
PFHxS	2019	-	-	19	-	15	-	-	-	-	-	-	34				
	2021	-	-	-	-	3.8	-	-	-	-	-	-	3.8				
PFHxPA	2019	-	-	20	-	19	-	-	-	-	-	-	40				
	2021	-	-	-	-	3.2	2.5	-	-	-	-	-	5.7				
PFHpA	2019	-	-	7.5	-	7.6	-	-	-	0.5	-	0.5	16				
	2021	-	-	-	-	0.6	-	-	-	-	-	-	0.6				
Oak 6	2019	-	-	-	-	-	-	-	-	-	-	-	-				
	2021	-	-	-	-	-	-	-	-	-	-	-	-				
PFHpS	2019	-	-	2.6	-	0.5	-	-	-	-	-	-	3.1				
	2021	-	-	-	-	-	-	-	-	-	-	-	-				
Syn 53	2019	-	-	-	-	-	-	-	-	-	-	-	-				
	2021	-	-	-	-	-	-	3.6	-	2.1	-	-	5.7				
P4MOA	2019	-	-	-	-	-	-	-	-	-	-	-	-				
	2021	-	-	-	-	-	-	-	-	-	-	-	-				
PFOA	2019	1.2	0.7	14	0.3	8	0.8	1.5	1.1	0.8	1.1	2.5	32				
	2021	0.4	0.3	0.5	0.5	3.7	1.6	1.6	0.9	0.3	0.8	0.8	-				
L-PFOS	2019	-	-	115	-	20	1.5	8.7	2.5	1.4	1.2	3.1	153				
	2021	0.6	-	-	1.2	13	10	3.7	1.3	-	0.6	-	31				
BrPFOS	2019	-	-	31	-	8.1	-	0.9	1	-	-	1.4	42				
	2021	-	-	-	-	7.5	1.1	-	-	-	-	-	8.6				
PFNA	2019	-	0.1	8.4	-	1.2	0.3	0.7	0.6	0.4	0.3	0.9	13				
	2021	-	-	0.1	0.3	1.1	0.5	0.5	0.3	0.1	0.2	0.2	3.3				
PFUdA	2019	-	-	0.7	-	-	-	-	-	-	-	-	0.7				
	2021	-	-	-	-	-	-	-	-	-	-	-	-				
PFDA	2019	-	0.2	3.7	0.3	0.5	0.3	0.4	0.2	0.3	0.4	0.5	6.9				
	2021	-	0.2	0.2	0.6	0.7	0.3	0.5	0.4	0.3	-	-	3.2				
PFDoA	2019	-	-	0.4	-	-	-	-	-	-	-	-	0.4				
	2021	-	-	-	0.3	-	-	-	-	-	-	-	0.3				
N-etFOSAA	2019	11	-	-	-	-	-	-	-	-	-	-	11				
	2021	-	-	-	-	-	-	-	-	-	-	-	-				
Latitude	28.40897	28.4085	28.39143	28.32356	28.27323	28.25916	28.21466	28.16473	28.12257	28.05625	28.04768	
Longitude	-80.61964	-80.5947	-80.59525	-80.60719	-80.60584	-80.60393	-80.59701	-80.58626	-80.57522	-80.55082	-80.54703	
